,Player,Actual,Predicted,ActualRank,PredictedRank,RankError
3,Lamar Jackson,430.4,261.8494488803824,1,1,0
5,Brock Purdy,266.9,247.20275914262226,11,2,-9
2,Dak Prescott,116.5,239.95854635201317,28,3,-25
0,Josh Allen,379.0,235.63082222839893,2,4,2
31,Joe Flacco,99.0,227.15100052721135,30,5,-25
23,Kirk Cousins,176.3,224.8349889414871,19,6,-13
8,C.J. Stroud,220.4,212.5084144216065,15,7,-8
1,Jalen Hurts,315.1,212.19285061627613,6,8,2
4,Jordan Love,233.9,207.64678751400152,14,9,-5
17,Justin Fields,119.1,202.73303699626928,27,10,-17
13,Russell Wilson,172.8,200.42602769589809,20,11,-9
10,Tua Tagovailoa,181.6,188.89983401377992,18,12,-6
7,Patrick Mahomes,283.0,187.0186883023221,10,13,3
6,Jared Goff,324.5,182.36768955763233,5,14,9
16,Justin Herbert,285.4,180.81229705953152,9,15,6
35,Anthony Richardson,163.4,175.85274005687512,21,16,-5
25,Kyler Murray,297.2,175.14968865164656,8,17,9
9,Baker Mayfield,365.8,174.50787990016843,4,18,14
26,Jake Browning,-0.2,172.47513586431802,60,19,-41
14,Matthew Stafford,214.6,168.7339779850358,16,20,4
11,Trevor Lawrence,145.2,163.28897628978223,23,21,-2
53,Jeff Driskel,0.0,161.06532406693572,59,22,-37
18,Geno Smith,266.0,153.39787905836073,12,23,11
47,Carson Wentz,4.7,150.97347332527042,53,24,-29
15,Derek Carr,150.9,148.343787134418,22,25,3
37,Nick Mullens,1.3,142.93149627326133,55,26,-29
34,Deshaun Watson,76.7,140.91560023118313,36,27,-9
24,Joe Burrow,372.8,137.09941060366947,3,28,25
43,Mason Rudolph,95.8,136.76285108227358,33,29,-4
19,Joshua Dobbs,30.8,134.16307092465985,42,30,-12
49,Jacoby Brissett,45.2,132.28571093023595,41,31,-10
38,Taylor Heinicke,3.1,125.4957748874988,54,32,-22
32,Tommy DeVito,13.5,117.81677992194678,50,33,-17
12,Sam Howell,-0.8,116.65761654899181,63,34,-29
21,Desmond Ridder,21.9,111.11667183617152,44,35,-9
30,Will Levis,119.9,110.37629437801395,26,36,10
20,Gardner Minshew II,96.3,100.69746863390739,31,37,6
27,Aidan O'Connell,93.5,96.42290657720892,34,38,4
33,Tyrod Taylor,20.1,91.39746927553679,45,39,-6
45,Jarrett Stidham,0.5,89.13939028956993,58,40,-18
46,Tyler Huntley,60.7,81.1656752081852,37,41,4
48,Andy Dalton,59.0,80.9184593629601,38,42,4
39,Jimmy Garoppolo,19.9,78.5988338596573,46,43,-3
42,Mitchell Trubisky,15.3,73.96731896694584,48,44,-4
44,Drew Lock,80.1,71.89193589130684,35,45,10
41,Tyson Bagent,-0.3,68.76207381489459,62,46,-16
54,Marcus Mariota,45.8,66.9116067122302,40,47,7
29,Mac Jones,96.1,64.77681631419348,32,48,16
28,Kenny Pickett,25.1,62.9080592013438,43,49,6
40,Daniel Jones,135.3,59.03006241850184,24,50,26
22,Bryce Young,195.0,58.012577428365546,17,51,34
36,Bailey Zappe,7.0,47.68983118201676,52,52,0
59,Malik Willis,51.8,41.89082160434772,39,53,14
52,Davis Mills,9.6,39.43333956449065,51,54,3
50,Sam Darnold,308.0,38.8125567608741,7,55,48
60,Mike White,1.1,28.612420917703503,56,56,0
55,Jameis Winston,131.1,21.345690357140526,25,57,32
63,Kyle Allen,0.8,16.023527572257265,57,58,1
62,Kyle Trask,-0.2,15.71000087692613,60,59,-1
61,Aaron Rodgers,256.6,14.029920349677624,13,60,47
57,Clayton Tune,-2.1,12.61374108282105,64,61,-3
58,Cooper Rush,109.6,11.998043268429129,29,62,33
51,Dorian Thompson-Robinson,15.8,-2.1439656802513554,47,63,16
56,Tim Boyle,13.9,-33.06757524179757,49,64,15
